,Title,URL,Album,InAnAlbum,Lyrics
0,ABSOLUTES,https://genius.com/Rap-ferreira-absolutes-lyrics,purple moonlight pages,True,"Hassle proof, spit it in nothin' but absolutes
I don't remember askin' you for a comment
S'posed to feel like bombardment
Vigorous work, the real jerk, no Steve Martin
No he not Spartan, no he not sparrin'
My mind's favorite yoga pose is pullin' okey dokes
Heroes turn to hoagie rolls, it's so laborious
I plot peace as a coordinate
My dojo taught insubordinance is glorious
I prefer when they forfeit, tap out, rap mount
The bag is bounced past, then I cash out
Left a note said, left a note said, left a note said
How you like me now?
How you like me now?
How you like me now?
How you like me now?
Back of the note had a post script reading
At her I marveled, fiddles with whale bone toggle
Herself is the obstacle, fossilization ain't optional
Survival isn't logical, niggas became absurdists, surrealists, dada flows
S'pose you can holler if you feel this
Those beyond the tasteful, a trip to Office Max for staples
This shit is graceful
How you like me now?
How you like me now?
How you like me now?
How you like me now?
Open the mouth to give testimony, bear witness
You need fresh air and a prayer for forgiveness
Tuck and weave, like Febreeze, particulates
You know my tongue be ticklish
You have my active thanks
The rhythm become sacrosanct
Dandelion wine on an empty stomach
Broke the bank, stretched the budget
Broke the bank, stretched the budget
I played the wake, sampled the buffet
Left some flowers by the grave
I sampled the buffet, played the wake
Left some flowers by the grave
So when I die I won't stay
Dead"
1,AN IDEA IS A WORK OF ART,https://genius.com/Rap-ferreira-an-idea-is-a-work-of-art-lyrics,purple moonlight pages,True,"On a quest to get open and free
Indeed, on a quest to get open and free
I do as I please as it pleases me
Sneezed on the knee of an MC most egregiously
Never begged they pardon calling my behavior modern
I circumambulate with the psycho-active animate
Basket case candidate for high stakes life, gambling
I'm ambling to the greater matter with my gray matter
Build gray matters, build better answers to destructive questions
Mother inventions, weathering God's pop quizzes
No matter what the odds, isn't odd, isn't it
How this wall between us dislodge with one fidget
It's not a gimmick, but a superpower
I've seen whole crews devoured by a person who is now a tagline on a bodybag
Bagpipes cause you had to lollygag
Gully gully wall with the Buddy Holly walk in Islamabad
Or it felt like it
Yelling Hellfyre into microphones, came out swingin'
Vaseline on forehead, winner sorted
Fiddlesticks, write a riddle to grant your own wish
Toss the homie a beat like ""hold this""
Art rap globalist, legion of hoodwinkers
Seasonal mood lingers, among broke bootleggers
Hoop jumper for pleasures
The many ventures of them pennypinchers
The skinny ledger leaker
Minute hedge fund freaker, done being a thinker
Hehe, 'til we meet again
At the Comfort Inn, hunny hunnerin
At the Comfort Inn, hunny hunnerin
It's the other who others whoever
It's the other who others whoever
On the quest to get open and free
On the quest to get open and free
Ran through a lot of gasoline
Ran through a lot of gasoline
It's the opposite of picking cotton
Rule number five
It's the opposite of picking cotton
On the quest to get open and free
We built better answers
It's the others who other whoever
It's the others who other whoever
On the quest to get open and free
A quest to get open and free
Ponder this Einstein
How does music fold space and time?
Realign locations with emotional space and verse stations
Less diverse is Hawking's with the gate open
Two billion ghosts walking the base of oceans
I'm talking about the base of the crossing
The low end to the screen
More frequencies in between and some focus on the moon
But this base was born on an island of survivors and reverberations and depths of millions of square miles
Our blues born from the deepest blue and black and green that got us through
Psychosomatic smokescreens to flip the world over
We ride trauma like moguls on slopes
Invoking old moguls in hopes royal lines will guide us
What if royalty despised us?
And there's no chosen, no laws
Just Rakim on them mountaintops
Or Nazir at Harvards by Paul
We're riding waves in centuries before slave trades no surprise we glide on the micros
One off bars on technos
 we gonna ease into Cantonese
Same with Ingles, Francais, and Espanol
Meandering through Mandarin with a one that's one million years old
This beat is gold
Ergo, milo knows the only gold is soul
That's what Columbus was really looking for
It's the others who other whoever
It's the others who other whoever
On the quest to get open and free
The quest to get open and free"
6,CYCLES,https://genius.com/Rap-ferreira-cycles-lyrics,purple moonlight pages,True,"It was gonna be a big summer, you know, a big summer
Every one since then too, ""a big summer""
""Gonna be a big summer""
Yet, somehow that's never the case, is it?
It's the sprawl of autumn, isn't it?
It's the crunch, where one can never daytrip
You know living myths can come true
Sometime it might happen to you, especially if you live outside of time
Anyway, the rhyme you are about to hear isn't true
But, it isn't false either
Any resemblance between this rhythm poetic exploration in reality is
Purely magical, purely magical
At the end of the world, we was fightin' back with brushes and pens
We decided that the suffering should end, no matter how good it feels
Wooden shields ain't stoppin' bullets
So we dropped those, quit lyin' to ourselves
Started writin' poems, got stronger by ourselves
Kinship bein' the hunger that we felt, so we trusted that
Made moves from it
Got busted backs, bruised stomachs
Ruby yacht, whole crew illustrious
We did those stints, tenures, benders, bent censures, spent ledgers
Unyielding, a taste of they own medicine
Every member is also president
How could you stop what you can't clot, hmm?
But things go backwards, the wrong people get placards
You get a collection of spatulas, heavy brow lines
Sacrificing down time for the wrong guys' good graces
Shoulda held them aces and betted on self
Eventually we're all just heads on a shelf
Trophies in cupboards, mopey customer
Doping up for a big day again, really it bores me
We're the stuff that's so boring, hijacking stories
Sapping the gold from the blood
MOG started from MUD
Be the first ones to judge
Funny how cycles work, funny how cycles work
Swear I just know my worth, swear I just know my worth
Funny how cycles work, funny how cycles work
Swear I just know my worth, swear I just know my worth
Funny how cycles work, funny how cycles work
Swear I just know my worth, swear I just know my worth
Swear I just know my worth
Funny how cycles work, funny how cycles work
Swear I just know my worth, swear I just know my worth
Funny how cycles work
Peace to the eternal spirit and soul of the grandmaster Jack Whitten. An idea is a work of art. From Chicago, Illinois to Bessamer, Alabama. An idea is a work of art
Peace, peace, peace, peace"
7,DECORUM,https://genius.com/Rap-ferreira-decorum-lyrics,purple moonlight pages,True,"Fence building nihilists, good evening
This is the late sleeping utopian speaking
Brother of the wind and the wisdom body
Him who has the filthy fits, Black Orpheus
High yellow, the sly rebel indeed
It is the corduroy coon prince of the moon boot fit
Mr. lime rickey tickin' off beat, parsel-tongue like feet, no lorry
Green horses run like Porsche Carrera
Of course it's Rory Allen Phillip Ferreira
None other than, the ignoble peon poet from nowhere
Joined by my family in funkonomics, the high vibrational minister
The Jefferson Park Boys
That's Mr. Kenny Segal, void peeker
Renowned in wide reaching concentric eccentric circles
For dropping desks rhythmically and grilling pineapples
Mr. Mike Parvizi of the golden thumb
Plucking poetics from the air as he struts down bass lines with nimble awareness
A crossing guard smoking on the job
And Mr. Aaron Carmack, head on a swivel
Profane keeper of the bop, master of sonic delights
Transistor and transmutator, exuding elegance like freedom
Good evening, thank you for joining us
This transmission is addressed to the fence building nihilists
Your soul writes, ""come home""
Abandon them outdated strategies, namely hatred
Exile is no place for a person, or your compassion
Come home
Good evening
Good evening"
9,DOLDRUMS,https://genius.com/Rap-ferreira-doldrums-lyrics,purple moonlight pages,True,"I wrote this outside of Wegmans. After they kicked me out for, for kickin', kickin’ too many rhymes
Endure the doldrums
Severe learning, my middle hurting
Growing up and it's to be such a little person
Dissapointment cloaks resentment
Wearing a cloak in Wegmans and being escorted out
Is this what rap's about? What do you rap about?
Miscellaneous capers, visually zany language
To maim my baby’s brain wit
That's why I only play my raps round him
Naps soundin' reasonable
So I take one, might cook all day
And I call that luxury
If them supremacists need a enemy, I'm your Hucklebee
You not gon' outwit, out-plot, out-steal or muzzle me
Won't even mention hustling, it's puzzling
When the meek act Big Willie, shit really
Just kick back and inherit the world 
Just kick back and inherit the world 
Just kick back and inherit the world 
Just kick back
Scrape scraps, pieces, hacks, master tongue
Bastard, plug seven, lung, reverance
Great antennas, increased livity
Recognize the signs of cycle, slow farming humility
I accept the mystery, I accept the mystery
I accept the mystery, I accept the mystery
Superstitious metaphysics, stained with humdrum
All my homies sufferin' the same conundrum
Superstitious metaphysics, stained with humdrum
All my homies sufferin’ the same conundrum
Superstitious metaphysics, stained with humdrum
All my homies sufferin’ the same
And the goal is to retain, the goal is to retain
The goal is to retain the most whole
It's the soul folks, it’s the soul folks
It's the soul folks, it's the soul folks
Can you find the level of difficulty in this?
Can you find the level of jubilee in this?
Can you find the level of revelry in this?
Can you find the level of freedom in this?
Can you find the level of spirit in this?"
11,DUST UP,https://genius.com/Rap-ferreira-dust-up-lyrics,purple moonlight pages,True,"The back of my mind is blank obsidian
MS-DOS screen, white line blinking
Ice-nine peeling
There is no search for what's natural, programmer
Roll rider, windjammer, in tune with shadow and act
Well lit projections, tryin’ to deconstruct metaphysics for me
From Hakim to Yasin, I'm in Casco Bay, Casca wit' me
Stayin’ at the Hotel Scallops room, February 3rd
Whisper singing Nelly Furtado, wishing I was a Yardbird
Plastic saxophone, ashy metronome
My grandmomma called Vaseline grease
I remember wearin' Jordans on the South Side
When Jordan played for the Bulls and I wasn't allowed outside
If this is my mind, I'll step out-side
Hull integrity full
Classic landscape, ripe fruit and house flies
Brought a broom to a dust-up
You rap like your footwork fucked up
We planned for hiccups, obstructionists
Stick up kids and the mogs on powerpoint
Talkin' 'bout quantum futurism but ain't got space ships
Ain't got schematics, ain’t got personnel training or catering
No defense budget
I write this from the Soul Folks vessel Ruby Yacht ancestral mothership
Plottin’ coordinates to peace, hull integrity full
Five thousand parsecs beyond trans warp
With a fresh oil change, come test it if you bad
Wrote it wearin' a burlap durag
My humblest experience in truth came packaged as a thought in this sense:
The map is the only territory
When I say out loud, ""the world is my idea""
When I say out loud, ""suede Timbs on my feet make my cipher complete""
I am saying the same thing out loud
I find comfort in the allegory of the journey
Because I am in a literal search for brightness, voluptuousness
Brimming clarity in service of nothing else
I know that one’s resolve for life can be determined
According to translation errors inherited
My understanding itself being a summation of a suggestion of which the scope is beyond me
And I hope to only ever be utilized and in service of another's journey
There was a census taken among the grand verbalizers
There was a, um, a census taken among only the grand verbalizers
And then the data was compiled, necessarily crunched, meaning it was sorted
In such a way one could understand, or at least make use of, and by extension, give one license to imitate in understanding
After the data was compiled, crunched, there was a consensus among only the grand verbalizers:
""Wack muhfuckers always want a re-do.""
My left eye sees in the garden of my mind clearly now
There are four heroes"
13,GOLDEN SARDINE,https://genius.com/Rap-ferreira-golden-sardine-lyrics,purple moonlight pages,True,"Head honcho in a poncho like Bob Kaufman
Ancient rain from the tonsils
Boil the coconut rice, I tear the cilantro
Heard y'all still experiment with dirty Henny
Me, I publish the City Lights like Ferlinghetti
Lusty stare, your boy paid to open the door like concierge
I no longer count the years
You’ve grown accustomed to acting from fear
Good laugh in the mirror
Silence follows cunning, rice pot humming
Nod off like a loose fez
The Howdy Doody guitar player gets suplexed
He not right, might pop like Enoch Light
No subliminals, knowledge at intervals, it's a rare science
In a cave with several dark thoughts and a clear mind
Have blues, will travel, a horse with no name, no saddle
Purse big enough to post bail and skedaddle
My projections are astral
Stormy weather copacetic, Bojangles asthetic
Tiptoe leverage
What's mine is in my mind
What is the price of glory, fire in the conservatory
What’s mine is in my mind
What's mine is in my
Bubble goose
Money flow four-fold like noble truth
Green lung coughed, fill the coffer
Slow menace stalker, when a negotiator's not a talker
Times of peril is always hella awkward
I know what you're pondering
And I keep that portion of the mind roped off from wandering
It smell of pomegranate, pears, soil
How they acts like they're unaware of toiled repetition
Make it meaningless, or is that the creation ritual
Space station habitual, the great ape made individuals
Them cut off from they roots, nah we not in cahoots
But there's an understanding, which is all one could ever ask for
Consider this my resignation from the task force
Consider this my resignation, consider this my resignation
What's mine is in my mind, what's mine is in my, yeah
And it’s like that, and that’s the way it is
What is the price of glory, fire in the conservatory
I'll pull that six-shooter out on him real quick, yeah
Reach for the sky, yeah, reach for the sky"
14,GREENS,https://genius.com/Rap-ferreira-greens-lyrics,purple moonlight pages,True,"Open the fucking pit, yeah
R.A.P. presidin', word
A so called negro stood there, spitting
Ten thousand lines of poetry
In conclusion, if I'm younger, you still not as old as me
This ain't my first time, this ain't my first time
Brown seed, brown pores, like molasses bread
Slow breathin' through the scary shit
Neophyte gambler, blue light dancer
Aquarius, walkin' with my angels
No need to measure the obtuse angle
Clanger of loose bangles
Measurin' stars with the space between my fingers
Truth is power, speakin' only to the little flower stalk lingers
A warrior don't need to test their meddle, stay blessed
And then he kissed every petal
Empty make a better vessel, ya know what I mean?
And our color shall be green, as we tend to grow
Tend to matters of hope, tend to be tender
Gardener of letters, king hat pretender
Benevolence lender, no interest rate
Ruby yacht ain't met a crest we couldn't break
Needless to say, the cipher's secure
However, your processor need a reboot to update
 which, the boys in blue investigate)
What's poppin', uh, cipher rotten
Newport smoked down to the cotton
It's simple mathematics, refracted madness
Wrote the rhyme with fridge magnets
Daydreamin' the whole lunch
Under an bowl cut
Eddie Jefferson singin', ""so what?""
This is music for quitters and dropouts
This is music for the flophouse
""Gimme my props now"", I say clanging my briefcase
Can you believe the nerve of these cheapskates?
Hogging sunlight and the technology behind photosynthesis
Let's measure rhythms in distances
The speed goes twenty-nine million miles before movin'
I think I'm improving, but who can say?
Since no point is fixed, more or less
I think my point is missed
I've decided to embrace what differentiates me from the anointed clique
Ruby yacht land ownership
Let's build a monument, and stand over it
Hand in hand, off-sides, odd pride
Like watching your kid's first tantrum
A relevant dataset
Lost alpha, now pay the bet
Beta, hepcat see ya later
Walk up in the building like I'm sposed to be here
But anyway
What did you have for lunch today? I had some daydreams myself, mmm. Yes and after all that rough sledding, that heavy lifting, a clear vista opened before me and a profound wave of understanding washed over me. And, and you know, the blues, the blues will fade. And the greens, the greens, they, they rush over you. The lush beautiful green, filled everything from the periphery to the center"
16,LAUNDRY,https://genius.com/Rap-ferreira-laundry-lyrics,purple moonlight pages,True,"Another day, another load of laundry
Soon as I woke up, that feeling was hauntin' me
Another dad with a hamper
I wonder if Chance the Rapper do his own laundry
Who cares?
I scoop socks calmly from under chairs
Underwears is its own load and spin cycle
Towels too, how are you?
I been busy keepin' this home together, you know
A family just growin' together
The hoverin' scent of cool linens
While the loop demands the fools keep sinnin'
Myself included, shit
I'm just hummin' in the kitchen, my son listenin'
He stare with them wide ol' eyes
Hummin' in the kitchen, my son listenin'
He stare with them wide ol' eyes
I'm hummin' in the kitchen, my son listenin'
He stare with them wide ol' eyes
We doin' laundry, we doin' laundry
We doin' laundry, we doin' laundry
You know the devil is a liar, silk pants don't go in the dryer
Hang 'em on the back of Bobby's recliner
I feel inspired by the shuffle of my fold
Cut a jib, born of my rib
We should have four or five hundred kids
I wonder how many loads of laundry that is
How many bottles of Gain will I gain in this game
Former rappers is fast dog walkers or podcast talkers
If the loose shoe fit
Perhaps I will launder zoot suits for tips on tour with mariachi dancers
You know that's not an applicable answer for a ten year plan
But, I'm sure it'll all go according to plan
Unless, unless...
Presently I'm just, you know
Hummin' in the kitchen, my son listenin'
He starin' with them wide ol' eyes
Hummin' in the kitchen, my son listenin'
He starin' with them wide ol' eyes
Hummin' in the kitchen
We doin' laundry, we doin' laundry"
17,LEAVING HELL,https://genius.com/Rap-ferreira-leaving-hell-lyrics,purple moonlight pages,True,"Twisted world where artists bend backwards for benefactors
And victims are to be blamed as bad actors
My mind running all around
Poetry is illegal unless you're under the undergound
Devious with determination
Solitude is crowded by isolation
Wandered wearily for several eternities
Gaining acclaim, using fake names
Vanishing by sunrise, committing to the wisdom of the unwise
In buildings where if I wasn't a performer, they wouldn't let me past the foyer
Here I am pullin' spectacles for the uninitiated voyeurs
But, bein' piss poor corrupted the discourse
As power functions on a sliding scale, so you might as well
So you might as well, you know what I'm sayin'
And that's when I knew I'd found
My way out of this hell
And that's when I knew I'd found
My way out of this hell
Strivin' to be the type of poet Lorca was
When one turns their back to lead the orchestra
Black orpheus, Kepler octahedron
Happy recent, eyes buggin' like Jackie Gleason
To witness true wonder, that's the reason
That's the reason
One time I was doo-dooin' at a gas station and I
Read on the stall, you know, on the wall
""What's the purpose of life?""
And someone had actually wrote back, it said:
""To be the eyes, the ears, and consciousness of the creator of the universe. You fool!""
And that's when I knew I'd found
My way out of this hell
Break it down, break it down
And that's when I knew I'd found
My way out of this hell
Thank you, thank you art, thank you music
And that's when I knew I'd found
My way out of this hell"
