,Title,URL,Album,InAnAlbum,Lyrics
0,3x5,https://genius.com/John-mayer-3x5-lyrics,Room for Squares,True,"I'm writing you to catch you up on places I've been
And you held this letter
Probably got excited, but there's nothing else inside it
Didn't have a camera by my side this time
Hoping I would see the world through both my eyes
Maybe I will tell you all about it when
I'm in the mood to lose my way with words
Today, skies are painted colors of a cowboy cliche
And strange how clouds that look like mountains in the sky
Are next to mountains anyway
Didn't have a camera by my side this time
Hoping I would see the world through both my eyes
Maybe I will tell you all about it when
I'm in the mood to lose my way with words
But let me say
You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
Just no more 3x5s
I guess you had to be there
Guess you had to be with me
Today I finally overcame
Trying to fit the world inside a picture frame
Maybe I will tell you all about it when
I'm in the mood to lose my way
But let me say
But let me say
You should have seen that sunrise
With your own eyes
It brought me back to life
You'll be with me next time I go outside
Just no more 3x5s"
3,83,https://genius.com/John-mayer-83-lyrics,Room for Squares,True,"I've these dreams I'm walking home
Home when it used to be
And everything is as it was
Frozen in front of me
Here I stand, 6 feet small
Romanticizing years ago
It's a bitter sweet feeling
Hearing ""Wrapped Around Your Finger"" on the radio
And these days
I wish I was 6 again
Oh, make me a red cape
I want to be Superman
Oh, if only my life was more like 1983
All these things would be
More like they were at the start of me
Heaven made in '83
Thinking about my brother, Ben
I miss him every day
He looks just like his brother, John
But on an 18 month delay
Here I stand, 6 feet small
And smiling because I'm scared as hell
Kind of like my life is like a sequel to a movie
Where the actor's names have changed, oh well
And these days
I wish I was 6 again
Oh, make me a red cape
I want to be Superman
Oh, if only my life was more like 1983
All these things would be
More like they were at the start of me
Heaven made in '83
And most my memories have escaped me
Or confused themselves with dreams
If heaven's all we want it to be
Send your prayers to me
Care of 1983
You can paint that house a rainbow of colors
Rip out the floorboards
Replace the shutters but
That's my plastic in the dirt
Whatever happened to my
Whatever happened to my
Whatever happened to my lunchbox?
When came the day that it got thrown away
And don't you think I should have had some say in that decision?"
7,A Face To Call Home,https://genius.com/John-mayer-a-face-to-call-home-lyrics,Born and Raised,True,"I am an architect
Of days that haven't happened yet
I can't believe a month is all it's been
You know my paper heart
The one I filled with pencil marks
I think I might have gone and inked you in
Little by little, inch by inch
We built a yard with a garden in the middle of it
And it ain't much, but it's a start
You got me swaying right along to the song of your heart
And a face to call home, a face to call home
You got a face to call home
So glad you didn't see
The nervous wreck I used to be
You'd never know a man could feel so small
And you never look at me
Like I'm a liability
I bet you think I've never been at all
Little by little, inch by inch
We built a yard with a garden in the middle of it
And it ain't much, but it's a start
You got me swaying right along to the song of your heart
And a face to call home, a face to call home
You got a face to call home, a face to call home
A face to call home
You got a face to call home
Maybe I could stay a while
Maybe I could stay a while
Maybe I could stay a while
I'm talking about all of the time
Maybe I could stay a while
Maybe I could stay a while
Maybe I could stay a while
I'm talking about all of the time
Little by little, inch by inch
We built a yard with a garden in the middle of it
And it ain't much, but it's a start
You got me swaying right along to the song of your heart
And a face to call home, a face to call home
You got a face to call home
Home home
Home home
Home home
Home home"
10,All We Ever Do Is Say Goodbye,https://genius.com/John-mayer-all-we-ever-do-is-say-goodbye-lyrics,Battle Studies,True,"Just when I had you off my head
Your voice comes thrashing wildly through my quiet bed
You say you want to try again
But I've tried everything but giving in
Why do you want to break my heart again?
Why am I going to let you try when
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
I bought a ticket on a plane
And by the time it landed, you were gone again
I love you more than songs can say
But I can't keep running after yesterday, so
Why do you want to break my heart again?
Why am I going to let you try when
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
We say goodbye
We say goodbye
We say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye
All we ever do is say goodbye"
11,Assassin,https://genius.com/John-mayer-assassin-lyrics,Battle Studies,True,"I work in the dead of night
When the roads are quiet and no one is around
To track my moves, racing the yellow lights
To find the gate is open, she's waiting in the room
I just slip on through
You get in, you get done and then you get gone
You never leave a trace, or show your face, you get gone
Should've turned around and left before the sun came up again
But the sun came up again
Enter the morning light
To find the day is burning the curtains and the wine
In a little white room
No I'm not alone, her head is heavy on me
She's sleeping like a child
What could I do?
You get in, you get done and then you get gone
You never leave a trace, or show your face, you get gone
Should've turned around and left before the sun came up again
But the sun came up again
I was a killer, was the best they'd ever seen
I'd steal your heart before you ever heard a thing
I'm an assassin and I had a job to do
Little did I know that girl was an assassin too
Suddenly I'm in over my head and I can hardly breathe
Suddenly I'm floating over her bed and I feel everything
Suddenly I know exactly what I did, but I can not move a thing
And suddenly I know exactly what I'd done
And what it's going to mean to me, mean to me
I'm gone
I was a killer, was the best they'd ever seen
I'd steal your heart before you ever heard a thing
I'm an assassin and I had a job to do
Little did I know that girl was an assassin too
She's an assassin
She's an assassin
She's an assassin
She's an assassin and she had a job to do"
16,Badge and Gun,https://genius.com/John-mayer-badge-and-gun-lyrics,Paradise Valley,True,"Give me my badge and gun
Give me the road that I may run
Give me that peaceful, wandering free I used to know
I've waited all I can
But I'm just not a patient man
And I've been hiding here for seven months or so
Hand me down my golden hat
And grab the winter one at that
You never know how long I'll be away
Give me my badge and gun
Give me the songs that I once sung
Give me those jet-black, kick-back, lay down nights alone
This house is safe and warm
But I was made to chase the storm
Taking the whole world on with big old empty arms
Tell my friends I tried my best
That one day I just up and left
They probably saw it coming anyway
What can I say
Hey, hey
The lock is on the cellar door
I can't remember what it's for
I ain't been down those stairs in oh so long
So, so long
The copy of your key is hanging where it used to be
Good as you've always been to me
The life I need to lead
Is somewhere out there, calling over those hills"
17,Belief,https://genius.com/John-mayer-belief-lyrics,Continuum,True,"Is there anyone who ever remembers
Changing their mind from the paint on a sign?
Is there anyone who really recalls ever breaking rank, at all
For something someone yelled real loud, one time?
Oh, everyone believes
In how they think it ought to be
Oh, everyone believes
And they're not going easily
Belief is a beautiful armor
But makes for the heaviest sword
Like punching underwater
You never can hit who you're trying for
Some need the exhibition
And some have to know they tried
It's the chemical weapon for the war that's ragin' on inside
Oh, everyone believes
From emptiness to everything
Oh, everyone believes
And no one's going quietly
We're never going to win the world
We're never going to stop the war
We're never going to beat this, if belief is what we're fighting for
We're never going to win the world
We're never going to stop the war
We're never going to beat this, if belief is what we're fighting for
Is there anyone you can remember
Ever surrendered with their life on the line?
We're never going to win the world
We're never going to stop the war
We're never going to beat this, if belief is what we're fighting for
We're never going to win the world
We're never going to stop the war
We're never going to beat this, if belief is what we're fighting for
What puts a hundred thousand children in the sand?
Belief can, belief can
What puts the folded flag inside his mother's hand?
Belief can, belief can"
18,Belief (live),https://genius.com/John-mayer-belief-live-lyrics,Continuum,True,"Is there anyone who
Ever remembers changing their mind from
The paint on a sign?
Is there anyone who really recalls
Ever breaking rank at all
For something someone yelled real loud one time
Everyone believes
In how they think it ought to be
Everyone believes
And they're not going easily
Belief is a beautiful armor
But makes for the heaviest sword
Like punching under water
You never can hit who you're trying for
Some need the exhibition
And some have to know they tried
It's the chemical weapon
For the war that's raging on inside
Everyone believes
From emptiness to everything
Everyone believes
And no one's going quietly
We're never gonna win the world
We're never gonna stop the war
We're never gonna beat this
If belief is what we're fighting for
What puts a hundred thousand children in the sand?
Belief can
Belief can
What puts the folded flag inside his mother's hand?
Belief can
Belief can"
20,Bigger Than My Body,https://genius.com/John-mayer-bigger-than-my-body-lyrics,Heavier Things,True,"This is a call to the color-blind
This is an IOU
I'm stranded behind a horizon line
Tied up in something true
Yes, I'm grounded
Got my wings clipped
I'm surrounded by all this pavement
Guess I'll circle
While I'm waiting for my fuse to dry
Someday I'll fly
Someday I'll soar
Someday I'll be so damn much more
Cause I'm bigger than my body gives me credit for
Why is it not my time
What is there more to learn
Shed this skin I've been tripping in
Never to quite return
Yes, I'm grounded
Got my wings clipped
I'm surrounded by all this pavement
Guess I'll circle
While I'm waiting for my fuse to dry
Someday I'll fly
Someday I'll soar
Someday I'll be so damn much more
Cause I'm bigger than my body gives me credit for
Cause I'm bigger than my body now
Maybe I'll tangle in the power lines
And it might be over in a second's time
But I'll gladly go down in a flame
If a flame's what it takes to remember my name
To remember my name
Yes, I'm grounded
Got my wings clipped
I'm surrounded by all this pavement
Guess I'll circle
While I'm waiting for my fuse to dry
For my fuse to dry
Wait for my fuse to dry
Someday I'll fly
Someday I'll soar
Someday I'll be so damn much more
Cause I'm bigger than my body
I'm bigger than my body
I'm bigger than my body now"
25,Bold as Love,https://genius.com/John-mayer-bold-as-love-lyrics,Continuum,True,"Anger, he smiles
Towering in shiny, metallic purple armor
Queen Jealousy, envy waits behind him
Her fiery green gown sneers at the grassy ground
Blue are the life-giving waters taken for granted
They quietly understand
The once happy turquoise armies lay opposite ready
But wonder why the fight is on
But they're all bold as love
Yeah, they're all bold as love
They're all bold as love
Just ask the axis
My red is so confident that he flashes
Trophies of war and ribbons of euphoria
Orange is young, full of daring
But very unsteady for the first go around
My yellow, in this case, is not so mellow
In fact, I'm trying to say it's frightened like me
And all these emotions of mine keep holding me from
Giving my life to a rainbow like you
I'm bold, bold as love
Yeah I'm bold, bold as love
I'm bold, bold as love
Just ask the axis
Yeah he knows, he knows, he knows, he knows everything
I'm bold, bold as love
I'm bold, bold as love
Hear me talking to you
I'm bold, bold as love, yeah"
